,Date,GDP Growth Rate,Female LFPR,Male LFPR
0,1990.0,0.7337555202121991,66.69,76.73
1,1991.0,-1.10312166213757,65.42,74.51
2,1992.0,0.401082076194314,62.95,72.34
3,1993.0,2.48983098546481,61.41,69.94
4,1994.0,3.84600916756006,60.03,68.66
5,1995.0,2.5316700051964705,59.22,67.79
6,1996.0,2.42854289501106,60.22,68.44
7,1997.0,4.9090257402803,60.14,68.64
8,1998.0,3.1539733752993304,59.74,68.04
9,1999.0,2.9901114449451103,59.16,67.07
10,2000.0,3.6723691050331,59.79,67.04
11,2001.0,2.07265627894577,58.13,65.39
12,2002.0,2.12322277320661,59.19,65.37
13,2003.0,3.02988992743832,58.26,63.91
14,2004.0,2.35562976182804,59.11,63.93
15,2005.0,2.59328001020944,59.22,64.97
16,2006.0,2.58410467657816,59.71,64.78
17,2007.0,2.26948687466346,58.61,64.14
18,2008.0,-0.23963808499898695,58.17,64.32
19,2009.0,-4.2473562657970785,57.12,61.5
20,2010.0,2.13143819777204,55.93,61.05
21,2011.0,1.4575633909042,55.66,60.57
22,2012.0,1.46988752075868,56.3,60.72
23,2013.0,1.8900183424514,56.38,59.87
24,2014.0,2.99116481375781,56.08,59.11
25,2015.0,2.62259667901294,57.03,59.7
26,2016.0,2.26346353784494,57.45,58.87
27,2017.0,2.13445309331686,56.78,57.92
28,2018.0,1.65092549602133,55.6,58.15
29,2019.0,1.67194419724758,55.67,57.3
30,2020.0,-9.69381667097939,..,..
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,,,,
58,,,,
59,,,,
60,,,,
61,,,,
62,,,,
63,,,,
64,,,,
65,,,,
66,,,,
67,,,,
68,,,,
69,,,,
70,,,,
71,,,,
72,,,,
73,,,,
74,,,,
75,,,,
76,,,,
77,,,,
78,,,,
79,,,,
80,,,,
81,,,,
82,,,,
83,,,,
84,,,,
85,,,,
86,,,,
87,,,,
88,,,,
89,,,,
90,,,,
91,,,,
92,,,,
93,,,,
94,,,,
95,,,,
96,,,,
97,,,,
98,,,,
99,,,,
100,,,,
101,,,,
102,,,,
103,,,,
104,,,,
105,,,,
106,,,,
107,,,,
108,,,,
109,,,,
110,,,,
111,,,,
112,,,,
113,,,,
114,,,,
115,,,,
116,,,,
117,,,,
118,,,,
119,,,,
120,,,,
121,,,,
122,,,,
123,,,,
124,,,,
125,,,,
126,,,,
127,,,,
128,,,,
129,,,,
130,,,,
131,,,,
132,,,,
133,,,,
134,,,,
135,,,,
136,,,,
137,,,,
138,,,,
139,,,,
140,,,,
141,,,,
142,,,,
143,,,,
144,,,,
145,,,,
146,,,,
147,,,,
148,,,,
149,,,,
150,,,,
151,,,,
152,,,,
153,,,,
154,,,,
155,,,,
