,Date,Male LFPR
0,1990.0,76.73
1,1991.0,74.51
2,1992.0,72.34
3,1993.0,69.94
4,1994.0,68.66
5,1995.0,67.79
6,1996.0,68.44
7,1997.0,68.64
8,1998.0,68.04
9,1999.0,67.07
10,2000.0,67.04
11,2001.0,65.39
12,2002.0,65.37
13,2003.0,63.91
14,2004.0,63.93
15,2005.0,64.97
16,2006.0,64.78
17,2007.0,64.14
18,2008.0,64.32
19,2009.0,61.5
20,2010.0,61.05
21,2011.0,60.57
22,2012.0,60.72
23,2013.0,59.87
24,2014.0,59.11
25,2015.0,59.7
26,2016.0,58.87
27,2017.0,57.92
28,2018.0,58.15
29,2019.0,57.3
30,2020.0,..
31,,
32,,
33,,
34,,
35,,
