,Country,GNI per Capita,Pay Gap
0,Slovenia,37450,8.1945369753
1,Slovak Republic,33060,15.662080133
2,Romania,27520,3.4965034965
3,Malta,39230,11.09375
4,Lithuania,34320,11.689814815
5,Latvia,29780,20.289855072
6,Israel,39940,22.659192431999998
7,Ireland,67050,8.2840236686
8,Italy,42290,5.7080610022
9,Japan,44380,23.537368955
10,Iceland,55190,12.901247189000001
11,Hungary,29860,5.0632142857
12,Finland,48580,18.855203722
13,France,46360,11.823802164000002
14,Estonia,34970,17.318435754
15,Cyprus,39880,15.871047737
16,Croatia,27180,7.9150579151
17,Costa Rica,16700,4.725274725299999
18,Colombia,14480,5.7879259259000015
19,Bulgaria,22300,3.0303030303
20,Australia,50050,11.714285714
21,Austria,55300,14.876690892000001
22,Belgium,51740,3.4087569791
23,Canada,47590,18.518518519
24,Czech Republic,37530,15.127413864000001
25,Denmark,56410,4.8632060095
26,Germany,54560,15.250121417999999
27,Greece,29670,5.9090909091
28,"Korea, Rep.",40090,34.107310951
29,Luxembourg,72200,-3.133514986
30,Mexico,19340,14.0
31,Netherlands,56890,12.657091562
32,New Zealand,39410,7.869692532899999
33,Norway,68310,5.1293690422000005
34,Poland,30010,11.497909952
35,Spain,39800,8.6216072379
36,Sweden,54030,7.1428571429
37,Switzerland,68820,15.095647352
38,Turkey,27640,9.980806142
39,United Kingdom,45350,16.310424203
40,United States,63690,18.910585817
