,Country Code,Pay Gap
0,AUS,11.714285714
1,AUT,14.876690892000001
2,BEL,3.4087569791
3,CAN,18.518518519
4,CZE,15.127413864000001
5,DNK,4.8632060095
6,FIN,18.855203722
7,FRA,11.823802164000002
8,DEU,15.250121417999999
9,GRC,5.9090909091
10,HUN,5.0632142857
11,ISL,12.901247189000001
12,IRL,8.2840236686
13,ITA,5.7080610022
14,JPN,23.537368955
15,KOR,34.107310951
16,LUX,-3.1335149860000002
17,MEX,14.0
18,NLD,12.657091562
19,NZL,7.869692532899999
20,NOR,5.1293690422000005
21,POL,11.497909952
22,PRT,11.665004985
23,SVK,15.662080133
24,ESP,8.6216072379
25,SWE,7.1428571429
26,CHE,15.095647352
27,TUR,9.980806142
28,GBR,16.310424203
29,USA,18.910585817
30,BGR,3.0303030303
31,COL,5.787925925900001
32,CRI,4.725274725299999
33,HRV,7.9150579151
34,CYP,15.871047737
35,EST,17.318435754
36,ISR,22.659192431999998
37,LVA,20.289855072
38,LTU,11.689814815
39,MLT,11.09375
40,ROU,3.4965034965
41,SVN,8.1945369753
42,OECD,12.6175434426257
43,EU27,11.138513263966699
