,date,value
0,2020,
1,2019,55.7713034222466
2,2018,55.9565854758473
3,2017,56.0058526814424
4,2016,55.8319623990413
5,2015,55.4205310507949
6,2014,54.3510038346587
7,2013,53.0787989373282
8,2012,51.7276435346541
9,2011,50.4878005087351
10,2010,49.5054697989787
11,2009,49.0037798701346
12,2008,48.6982185090627
13,2007,48.6553814809483
14,2006,48.6736818544817
15,2005,48.693343835846
16,2004,48.6472675193729
17,2003,48.6265509636373
18,2002,48.6088411076016
19,2001,48.5881440455415
20,2000,48.55446608369
21,1999,48.2862371288887
22,1998,47.9425222373469
23,1997,47.6132977809478
24,1996,47.3618053791545
25,1995,47.2412621039942
26,1994,47.3785819859295
27,1993,47.6354533701518
28,1992,47.9546780551442
29,1991,48.2754289963279
30,1990,48.5203053706257
31,1989,
32,1988,
33,1987,
34,1986,
35,1985,
36,1984,
37,1983,
38,1982,
39,1981,
40,1980,
41,1979,
42,1978,
43,1977,
44,1976,
45,1975,
46,1974,
47,1973,
48,1972,
49,1971,
