"Mix-adjusted House Price Index (HPI), UK, 1980 to 2013",
,
Year,HPI
1980,20
1981,21.1
1982,21.6
1983,24.2
1984,26.4
1985,28.8
1986,32.8
1987,38.3
1988,48
1989,58.1
1990,57.4
1991,56.6
1992,54.4
1993,53.1
1994,54.4
1995,54.8
1996,56.7
1997,62
1998,68.8
1999,76.7
2000,87.7
2001,95.1
2002,111.2
2003,128.7
2004,143.9
2005,151.8
2006,161.4
2007,179
2008,177.3
2009,163.5
2010,175.3
2011,173.6
2012,176.5
2013,182.7
,
"Source: House Price Index (HPI) - November 2014, ONS",
