,Year,HPI
2,1980,20
3,1981,21.1
4,1982,21.6
5,1983,24.2
6,1984,26.4
7,1985,28.8
8,1986,32.8
9,1987,38.3
10,1988,48
11,1989,58.1
12,1990,57.4
13,1991,56.6
14,1992,54.4
15,1993,53.1
16,1994,54.4
17,1995,54.8
18,1996,56.7
19,1997,62
20,1998,68.8
21,1999,76.7
22,2000,87.7
23,2001,95.1
24,2002,111.2
25,2003,128.7
26,2004,143.9
27,2005,151.8
28,2006,161.4
29,2007,179
30,2008,177.3
31,2009,163.5
32,2010,175.3
33,2011,173.6
34,2012,176.5
35,2013,182.7
36,,
37,"Source: House Price Index (HPI) - November 2014, ONS",
